"start_station_name","s_station_uid","avg_lat","avg_lng","instances"
"Michigan Ave & Pearson St",263,"41.897604202018854","-87.62353576273728","10537"
"Southport Ave & Wrightwood Ave",1760,"41.92877829659187","-87.66390456020297","10404"
"Larrabee St & Division St",1624,"41.90348417601767","-87.64334813763998","10365"
"Sheridan Rd & Buena Ave",1837,"41.95849150831212","-87.65498818211424","10297"
"Kedzie Ave & Milwaukee Ave",284,"41.92939320122532","-87.70792055260593","10223"
"Damen Ave & Chicago Ave",294,"41.89573181707861","-87.67719592022391","10201"
"Financial Pl & Ida B Wells Dr",1701,"41.87501786266269","-87.63311577038462","10180"
"Aberdeen St & Monroe St",308,"41.880421380342135","-87.65554970842449","10128"
"Halsted St & Willow St",1792,"41.91385428011471","-87.64876334719514","10095"
"Carpenter St & Huron St",321,"41.89454998596663","-87.65344405805367","10052"
"Michigan Ave & 18th St",305,"41.85790145149386","-87.6243801310845","10021"
"Dearborn St & Adams St",1709,"41.879320280844155","-87.62977437036072","9945"
"Lincoln Ave & Melrose St",1847,"41.94059599391781","-87.66946572794548","9900"
"Wacker Dr & Washington St",1617,"41.883159898948406","-87.63727662188819","9896"
"Clark St & Leland Ave",1828,"41.96709202975161","-87.66733618967882","9842"
"Blackstone Ave & 59th St",650,"41.78789148432045","-87.5904821393515","9582"
"Lake Park Ave & 56th St",1857,"41.79324810098455","-87.58778744169064","9556"
"Ogden Ave & Race Ave",320,"41.891805564731044","-87.65876153298677","9502"
"Western Ave & Winnebago Ave",275,"41.91553798927386","-87.68701255418556","9341"
"Jefferson St & Monroe St",1862,"41.88033523543593","-87.64275370565568","9191"
"Calumet Ave & 18th St",289,"41.85763057923701","-87.61941947035638","9174"
"Larrabee St & Oak St",1643,"41.9002339028776","-87.64298721560904","9125"
"Green St & Randolph St*",1868,"41.883604988964315","-87.64860335399811","8981"
"Desplaines St & Randolph St",398,"41.88368236158442","-87.64425455718812","8954"
"Orleans St & Hubbard St",1182,"41.89002244681022","-87.63663967701362","8902"
"Wolcott Ave & Polk St",1858,"41.87128572001361","-87.67368147835576","8899"
"Damen Ave & Division St",298,"41.90327470746137","-87.67845223679934","8857"
"State St & Van Buren St",1724,"41.87716596752405","-87.62786152400592","8850"
"Paulina St & Flournoy St",1637,"41.87307013937131","-87.66910098318664","8815"
"Sheffield Ave & Willow St",1744,"41.913699265152424","-87.65284316426326","8794"
"Wabash Ave & 16th St",1703,"41.86038676576246","-87.62582037985567","8781"
"State St & Pearson St",1754,"41.89745476306263","-87.6287329867296","8748"
"Greenview Ave & Fullerton Ave",1745,"41.92534454060562","-87.66580814534906","8724"
"State St & Harrison St",1698,"41.874043807599605","-87.62772474477414","8649"
"Ellis Ave & 58th St",1826,"41.78875263939864","-87.60132668161243","8618"
"Lincoln Ave & Roscoe St*",1870,"41.943342300837685","-87.67070440219747","8495"
"Woodlawn Ave & 58th St",648,"41.789386051979974","-87.59648145685529","8484"
"Orleans St & Chestnut St (NEXT Apts)",1161,"41.89819082642183","-87.63753728009775","8479"
"LaSalle St & Washington St",253,"41.88265340075921","-87.63250968917879","8412"
"Cornell Ave & Hyde Park Blvd",1571,"41.80241598339047","-87.58692667517755","8271"
"Clark St & Ida B Wells Dr",1711,"41.875949626752586","-87.63062286598219","8257"
"Sangamon St & Washington Blvd",378,"41.88313363806513","-87.65109218954372","8251"
"McCormick Place",1708,"41.851411405664024","-87.61886910792718","8217"
"Rhodes Ave & 32nd St",325,"41.83630618446653","-87.61352664420242","8215"
"Eckhart Park",355,"41.89639254404023","-87.66100214077653","8202"
"Green St & Washington Blvd",269,"41.88318335467792","-87.64874041045479","8116"
"Southport Ave & Irving Park Rd",1848,"41.954169765059156","-87.66433407133232","8034"
"Larrabee St & Armitage Ave",1822,"41.91808128240652","-87.64375321084545","8028"
"Halsted St & Roosevelt Rd",1715,"41.867338339484895","-87.64862801270225","7942"
"Streeter Dr/Grand Ave",1685,"41.892392454839545","-87.61239094271073","7934"
"Ada St & Washington Blvd",373,"41.882828997829186","-87.66119823256805","7934"
"Clark St & Bryn Mawr Ave",1662,"41.9835876500849","-87.66915557152169","7891"
"Damen Ave & Thomas St (Augusta Blvd)",1757,"41.90133157964308","-87.67743365674136","7744"
"Noble St & Milwaukee Ave",356,"41.90069134396156","-87.66259543493288","7737"
"Throop St & Taylor St",301,"41.8689405465568","-87.65913403785132","7688"
"Clark St & Montrose Ave",1583,"41.961578293184125","-87.66608605973268","7635"
"Broadway & Argyle St",290,"41.973972173316845","-87.6597483561981","7617"
"Wood St & Chicago Ave",1184,"41.89563166031523","-87.67209685710232","7603"
"Ashland Ave & Blackhawk St",329,"41.90709111494907","-87.6672480522524","7565"
"Lakefront Trail & Wilson Ave",1188,"41.966171312642985","-87.64463681057455","7421"
"Fairbanks St & Superior St",472,"41.89576956086096","-87.62015183908623","7418"
"Broadway & Berwyn Ave",291,"41.97836493352558","-87.65978097735669","7417"
"Racine Ave & Congress Pkwy",1741,"41.87464959379322","-87.65704026591925","7374"
"Paulina Ave & North Ave",1725,"41.90998130340366","-87.66997437968267","7362"
"Michigan Ave & Ida B Wells Dr",1712,"41.87610636700238","-87.62434017204878","7338"
"Racine Ave & Wrightwood Ave",1855,"41.92887867005661","-87.65897029904465","7274"
"Wells St & Institute Pl",647,"41.89736977643069","-87.6344631357473","7243"
"Elizabeth St & Fulton St",322,"41.88678389693966","-87.6592001447962","7228"
"Walsh Park",479,"41.91458903216411","-87.66796838391974","7173"
"Ashland Ave & Grace St",364,"41.95068853656723","-87.66869254085803","7161"
"Delano Ct & Roosevelt Rd",1678,"41.867491518590754","-87.63219099586154","7148"
"Sheridan Rd & Argyle St",272,"41.973226936831466","-87.65475714524347","7140"
"Marine Dr & Ainslie St",1673,"41.97160466804658","-87.65015925741655","7097"
"Lake Park Ave & 53rd St",1609,"41.79951068255864","-87.58645277254026","7088"
"Western Ave & Leland Ave",1777,"41.96641164476104","-87.68870553451013","6917"
"Southport Ave & Clybourn Ave",1839,"41.921175231141135","-87.66510206837529","6916"
